name,domains,country,web_pages
California State University Channel Islands,csuci.edu,United States,https://www.csuci.edu/
California Baptist University,calbaptist.edu,United States,http://www.calbaptist.edu/
California Southern University,calsouthern.edu,United States,http://www.calsouthern.edu/
"California Polytechnic State University, Pomona",cpp.edu,United States,http://www.cpp.edu/
California Coast University,calcoast.edu,United States,http://www.calcoast.edu/
California Institute of Technology,caltech.edu,United States,http://www.caltech.edu/
California Lutheran University,callutheran.edu,United States,http://www.callutheran.edu/
California Maritime Academy,csum.edu,United States,http://www.csum.edu/
California National University,cnuas.edu,United States,http://www.cnuas.edu/
"California Polytechnic State University, San Luis Obispo",calpoly.edu,United States,http://www.calpoly.edu/
"California State University, Bakersfield","csub.edu,csubak.edu",United States,http://www.csub.edu/
"California State University, Chico",csuchico.edu,United States,http://www.csuchico.edu/
"California State University, Dominguez Hills",csudh.edu,United States,http://www.csudh.edu/
"California State University, Fresno","csufresno.edu,fresnostate.edu",United States,"http://www.csufresno.edu/,http://www.fresnostate.edu/"
"California State University, Fullerton",fullerton.edu,United States,http://www.fullerton.edu/
"California State University, Hayward",csuhayward.edu,United States,http://www.csuhayward.edu/
"California State University, Long Beach",csulb.edu,United States,http://www.csulb.edu/
"California State University, Los Angeles",calstatela.edu,United States,http://www.calstatela.edu/
"California State University, Monterey Bay",csumb.edu,United States,http://www.csumb.edu/
"California State University, Northridge",csun.edu,United States,http://www.csun.edu/
"California State University, Sacramento",csus.edu,United States,http://www.csus.edu/
"California State University, San Bernardino",csusb.edu,United States,http://www.csusb.edu/
"California State University, San Marcos",csusm.edu,United States,http://www.csusm.edu/
"California State University, Stanislaus",csustan.edu,United States,http://www.csustan.edu/
California State University System,calstate.edu,United States,http://www.calstate.edu/
California University of Pennsylvania,cup.edu,United States,http://www.cup.edu/
New College of California,newcollege.edu,United States,http://www.newcollege.edu/
Saint Mary's College of California,stmarys-ca.edu,United States,http://www.stmarys-ca.edu/
"University of California, Berkeley",berkeley.edu,United States,http://www.berkeley.edu/
"University of California, Davis",ucdavis.edu,United States,http://www.ucdavis.edu/
"University of California, Irvine",uci.edu,United States,http://www.uci.edu/
"University of California, Los Angeles",ucla.edu,United States,http://www.ucla.edu/
"University of California, Merced",ucmerced.edu,United States,http://www.ucmerced.edu/
"University of California, Office of the President",ucop.edu,United States,https://www.ucop.edu/
"University of California, Riverside",ucr.edu,United States,http://www.ucr.edu/
"University of California, San Diego",ucsd.edu,United States,http://www.ucsd.edu/
"University of California, San Francisco",ucsf.edu,United States,http://www.ucsf.edu/
"University of California, Santa Barbara",ucsb.edu,United States,http://www.ucsb.edu/
"University of California, Santa Cruz",ucsc.edu,United States,http://www.ucsc.edu/
University of Southern California,"usc.edu,isi.edu",United States,"http://www.usc.edu/,http://www.isi.edu/"
Carrington College California-Sacramento,carrington.edu,United States,http://www.carrington.edu
California Institute of the Arts,calarts.edu,United States,https://calarts.edu/
California State University,csueastbay.edu,United States,https://csueastbay.edu
California University of Science and Medicine,cusm.edu,United States,https://www.cusm.edu/
